item_id,title,category,attributes,allergens,unit_price,store_format
N201021,Valley dark chocolate 1 L pack of 4,Snacks,"{""brand"": ""Valley"", ""size"": ""1 L"", ""pack_qty"": 4}",nuts;milk,19.75,express
N200531,Harvest vanilla icecream 1 L pack of 6,Frozen,"{""brand"": ""Harvest"", ""size"": ""1 L"", ""pack_qty"": 6}",gluten;fish,23.85,express
N202351,Meadow hand soap 2 L pack of 1,Personal Care,"{""brand"": ""Meadow"", ""size"": ""2 L"", ""pack_qty"": 1}",none,5.33,supermarket
N202565,Meadow rice cakes 2 L pack of 2,Snacks,"{""brand"": ""Meadow"", ""size"": ""2 L"", ""pack_qty"": 2}",nuts;milk,12.97,express
N202276,Bluebell cold brew 330 ml pack of 12,Beverages,"{""brand"": ""Bluebell"", ""size"": ""330 ml"", ""pack_qty"": 12}",none,2.46,express
N200739N,VALLEY FISH FINGERS 1 KG PACK OF 2  ,Frozen,"{""brand"": ""Valley"", ""size"": ""1 kg"", ""pack_qty"": 2}",gluten;fish,9.9,express
N201804,Northfield oat drink 500 g pack of 4,Beverages,"{""brand"": ""Northfield"", ""size"": ""500 g"", ""pack_qty"": 4}",none,12.94,express
N202874,Valley avocado ripe 750 g pack of 12,Produce,"{""brand"": ""Valley"", ""size"": ""750 g"", ""pack_qty"": 12}",none,11.82,online
N201081,Harvest wholemeal bread 330 ml pack of 6,Bakery,"{""brand"": ""Harvest"", ""size"": ""330 ml"", ""pack_qty"": 6}",gluten;egg,23.06,online
N202644,Harvest cola zero 1 kg pack of 2,Beverages,"{""brand"": ""Harvest"", ""size"": ""1 kg"", ""pack_qty"": 2}",none,13.13,supermarket
N202986,Bluebell avocado ripe 1 L pack of 6,Produce,"{""brand"": ""Bluebell"", ""size"": ""1 L"", ""pack_qty"": 6}",none,5.06,supermarket
N202135,Valley razor blades 250 ml pack of 2,Personal Care,"{""brand"": ""Valley"", ""size"": ""250 ml"", ""pack_qty"": 2}",none,12.7,express
N202677,Bluebell dark chocolate 6 pk pack of 12,Snacks,"{""brand"": ""Bluebell"", ""size"": ""6 pk"", ""pack_qty"": 12}",nuts;milk,16.85,supermarket
N201914,Orchard baby spinach 6 pk pack of 2,Produce,"{""brand"": ""Orchard"", ""size"": ""6 pk"", ""pack_qty"": 2}",none,15.1,express
N202066,Northfield banana bunch 750 g pack of 1,Produce,"{""brand"": ""Northfield"", ""size"": ""750 g"", ""pack_qty"": 1}",none,9.22,online
N201387,Northfield garden peas 6 pk pack of 4,Frozen,"{""brand"": ""Northfield"", ""size"": ""6 pk"", ""pack_qty"": 4}",gluten;fish,15.27,express
N201726,Bluebell dish soap 750 g pack of 6,Household,"{""brand"": ""Bluebell"", ""size"": ""750 g"", ""pack_qty"": 6}",none,23.92,online
N201133,Northfield trail mix 250 ml pack of 6,Snacks,"{""brand"": ""Northfield"", ""size"": ""250 ml"", ""pack_qty"": 6}",nuts;milk,10.6,supermarket
N202128,Orchard cheddar cheese 1 L pack of 4,Dairy,"{""brand"": ""Orchard"", ""size"": ""1 L"", ""pack_qty"": 4}",milk,6.06,express
N202932,Northfield orange juice 500 g pack of 2,Beverages,"{""brand"": ""Northfield"", ""size"": ""500 g"", ""pack_qty"": 2}",none,7.5,online
N202919,Bluebell hand soap 500 g pack of 2,Personal Care,"{""brand"": ""Bluebell"", ""size"": ""500 g"", ""pack_qty"": 2}",none,16.88,supermarket
N202113,Meadow butter croissant 250 ml pack of 6,Bakery,"{""brand"": ""Meadow"", ""size"": ""250 ml"", ""pack_qty"": 6}",gluten;egg,24.0,supermarket
N201490,Orchard baby spinach 1 kg pack of 2,Produce,"{""brand"": ""Orchard"", ""size"": ""1 kg"", ""pack_qty"": 2}",none,1.29,express
N202390,Meadow glass cleaner 750 g pack of 1,Household,"{""brand"": ""Meadow"", ""size"": ""750 g"", ""pack_qty"": 1}",none,18.26,express
N202203,Valley fish fingers 750 g pack of 6,Frozen,"{""brand"": ""Valley"", ""size"": ""750 g"", ""pack_qty"": 6}",gluten;fish,5.96,express
N201891,Harvest garden peas 1 L pack of 4,Frozen,"{""brand"": ""Harvest"", ""size"": ""1 L"", ""pack_qty"": 4}",gluten;fish,6.85,online
N202688,Valley salted butter 6 pk pack of 6,Dairy,"{""brand"": ""Valley"", ""size"": ""6 pk"", ""pack_qty"": 6}",milk,8.48,online
N202752,Bluebell greek yogurt 2 L pack of 2,Dairy,"{""brand"": ""Bluebell"", ""size"": ""2 L"", ""pack_qty"": 2}",milk,15.62,supermarket
N202222,Valley glass cleaner 2 L pack of 2,Household,"{""brand"": ""Valley"", ""size"": ""2 L"", ""pack_qty"": 2}",none,17.08,supermarket
N202742,Bluebell paper towel 2 L pack of 6,Household,"{""brand"": ""Bluebell"", ""size"": ""2 L"", ""pack_qty"": 6}",none,13.17,supermarket
N200694,Harvest bin liners 500 g pack of 12,Household,"{""brand"": ""Harvest"", ""size"": ""500 g"", ""pack_qty"": 12}",none,17.35,online
N202891,Valley margherita pizza 1 L pack of 1,Frozen,"{""brand"": ""Valley"", ""size"": ""1 L"", ""pack_qty"": 1}",gluten;fish,5.7,supermarket
N201455,Valley hand soap 1 L pack of 1,Personal Care,"{""brand"": ""Valley"", ""size"": ""1 L"", ""pack_qty"": 1}",none,13.51,online
N201761,Orchard wholemeal bread 6 pk pack of 12,Bakery,"{""brand"": ""Orchard"", ""size"": ""6 pk"", ""pack_qty"": 12}",gluten;egg,14.62,express
N202883,Bluebell vanilla icecream 500 g pack of 1,Frozen,"{""brand"": ""Bluebell"", ""size"": ""500 g"", ""pack_qty"": 1}",gluten;fish,15.36,supermarket
N201466N,MEADOW GALA APPLE 2 L PACK OF 2  ,Produce,"{""brand"": ""Meadow"", ""size"": ""2 L"", ""pack_qty"": 2}",none,11.67,express
N202177,Meadow butter croissant 1 L pack of 2,Bakery,"{""brand"": ""Meadow"", ""size"": ""1 L"", ""pack_qty"": 2}",gluten;egg,2.91,online
N200314,Orchard gala apple 1 L pack of 1,Produce,"{""brand"": ""Orchard"", ""size"": ""1 L"", ""pack_qty"": 1}",none,8.33,express
N202254,Valley bin liners 500 g pack of 4,Household,"{""brand"": ""Valley"", ""size"": ""500 g"", ""pack_qty"": 4}",none,21.89,express
N201532,Meadow orange juice 750 g pack of 12,Beverages,"{""brand"": ""Meadow"", ""size"": ""750 g"", ""pack_qty"": 12}",none,21.27,express
N201550,Northfield bin liners 6 pk pack of 12,Household,"{""brand"": ""Northfield"", ""size"": ""6 pk"", ""pack_qty"": 12}",none,19.69,express
N200090,Bluebell banana bunch 250 ml pack of 2,Produce,"{""brand"": ""Bluebell"", ""size"": ""250 ml"", ""pack_qty"": 2}",none,16.58,supermarket
N201277,Harvest salted crisps 6 pk pack of 12,UNKNOWN_CAT,"{""brand"": ""Harvest"", ""size"": ""6 pk"", ""pack_qty"": 12}",nuts;milk,15.69,supermarket
N200666,Northfield banana bunch 1 L pack of 12,Produce,"{""brand"": ""Northfield"", ""size"": ""1 L"", ""pack_qty"": 12}",none,3.67,online
N201758,Meadow paper towel 750 g pack of 4,Household,"{""brand"": ""Meadow"", ""size"": ""750 g"", ""pack_qty"": 4}",none,2.69,express
N202220,Valley orange juice 1 kg pack of 1,Beverages,"{""brand"": ""Valley"", ""size"": ""1 kg"", ""pack_qty"": 1}",none,2.48,online
N202458,Valley avocado ripe 250 ml pack of 6,Produce,"{""brand"": ""Valley"", ""size"": ""250 ml"", ""pack_qty"": 6}",none,10.29,online
N200376,Meadow cheddar cheese 500 g pack of 1,Dairy,"{""brand"": ""Meadow"", ""size"": ""500 g"", ""pack_qty"": 1}",milk,17.95,supermarket
N200952,Bluebell whole milk 500 g pack of 2,Dairy,"{""brand"": ""Bluebell"", ""size"": ""500 g"", ""pack_qty"": 2}",milk,9.05,supermarket
N201226,Harvest gala apple 1 kg pack of 1,Produce,"{""brand"": ""Harvest"", ""size"": ""1 kg"", ""pack_qty"": 1}",none,14.32,express
N201909,Meadow trail mix 330 ml pack of 1,Snacks,"{""brand"": ""Meadow"", ""size"": ""330 ml"", ""pack_qty"": 1}",nuts;milk,5.66,online
N200913,Valley wholemeal bread 330 ml pack of 4,Bakery,"{""brand"": ""Valley"", ""size"": ""330 ml"", ""pack_qty"": 4}",gluten;egg,4.04,supermarket
N202535,Northfield shampoo daily 750 g pack of 2,Personal Care,"{""brand"": ""Northfield"", ""size"": ""750 g"", ""pack_qty"": 2}",none,7.58,supermarket
N201022,Valley paper towel 2 L pack of 6,Household,"{""brand"": ""Valley"", ""size"": ""2 L"", ""pack_qty"": 6}",none,2.14,supermarket
N200315,Bluebell garden peas 750 g pack of 2,Frozen,"{""brand"": ""Bluebell"", ""size"": ""750 g"", ""pack_qty"": 2}",gluten;fish,18.67,supermarket
N201600,Meadow cheddar cheese 250 ml pack of 1,Dairy,"{""brand"": ""Meadow"", ""size"": ""250 ml"", ""pack_qty"": 1}",milk,21.58,express
N202870,Bluebell laundry pods 2 L pack of 6,Household,"{""brand"": ""Bluebell"", ""size"": ""2 L"", ""pack_qty"": 6}",none,10.51,online
N201787,Meadow margherita pizza 6 pk pack of 12,Frozen,"{""brand"": ""Meadow"", ""size"": ""6 pk"", ""pack_qty"": 12}",gluten;fish,3.01,express
N200492,Meadow oat drink 1 L pack of 4,Beverages,"{""brand"": ""Meadow"", ""size"": ""1 L"", ""pack_qty"": 4}",none,12.1,express
N201932,Orchard cola zero 6 pk pack of 6,Beverages,"{""brand"": ""Orchard"", ""size"": ""6 pk"", ""pack_qty"": 6}",none,7.89,online
N201650,Valley gala apple 2 L pack of 6,Produce,"{""brand"": ""Valley"", ""size"": ""2 L"", ""pack_qty"": 6}",none,13.36,express
N202022,Valley glass cleaner 250 ml pack of 1,Household,"{""brand"": ""Valley"", ""size"": ""250 ml"", ""pack_qty"": 1}",none,22.96,online
N200331,Valley mixed berries 750 g pack of 1,Frozen,"{""brand"": ""Valley"", ""size"": ""750 g"", ""pack_qty"": 1}",gluten;fish,15.79,supermarket
N200137,Valley sourdough loaf 250 ml pack of 12,Bakery,"{""brand"": ""Valley"", ""size"": ""250 ml"", ""pack_qty"": 12}",gluten;egg,14.28,supermarket
N200898,Northfield gala apple 1 L pack of 12,Produce,"{""brand"": ""Northfield"", ""size"": ""1 L"", ""pack_qty"": 12}",none,15.49,supermarket
N202136,Northfield cheddar cheese 250 ml pack of 2,Dairy,"{""brand"": ""Northfield"", ""size"": ""250 ml"", ""pack_qty"": 2}",milk,10.42,express
N201307,Meadow mixed berries 1 kg pack of 2,Frozen,"{""brand"": ""Meadow"", ""size"": ""1 kg"", ""pack_qty"": 2}",gluten;fish,2.27,online
N201056,Harvest greek yogurt 330 ml pack of 1,Dairy,"{""brand"": ""Harvest"", ""size"": ""330 ml"", ""pack_qty"": 1}",milk,0.98,supermarket
N201016,Meadow cheddar cheese 330 ml pack of 12,Dairy,"{""brand"": ""Meadow"", ""size"": ""330 ml"", ""pack_qty"": 12}",milk,15.1,express
N201673,Bluebell seeded bagel 330 ml pack of 6,Bakery,"{""brand"": ""Bluebell"", ""size"": ""330 ml"", ""pack_qty"": 6}",gluten;egg,13.49,express
N201170,Harvest banana bunch 1 kg pack of 4,Produce,"{""brand"": ""Harvest"", ""size"": ""1 kg"", ""pack_qty"": 4}",none,15.07,express
N202174,Bluebell glass cleaner 250 ml pack of 6,Household,"{""brand"": ""Bluebell"", ""size"": ""250 ml"", ""pack_qty"": 6}",none,17.92,supermarket
N201754,Northfield baby spinach 2 L pack of 1,Produce,"{""brand"": ""Northfield"", ""size"": ""2 L"", ""pack_qty"": 1}",none,4.1,online
N201483,Orchard fish fingers 2 L pack of 6,Frozen,"{""brand"": ""Orchard"", ""size"": ""2 L"", ""pack_qty"": 6}",gluten;fish,16.33,supermarket
N201252,Harvest sparkling water 1 kg pack of 4,Beverages,"{""brand"": ""Harvest"", ""size"": ""1 kg"", ""pack_qty"": 4}",none,20.27,express
N202163,Orchard garden peas 6 pk pack of 6,Frozen,"{""brand"": ""Orchard"", ""size"": ""6 pk"", ""pack_qty"": 6}",gluten;fish,8.88,supermarket
N200862,Harvest dish soap 330 ml pack of 2,Household,"{""brand"": ""Harvest"", ""size"": ""330 ml"", ""pack_qty"": 2}",none,5.94,express
N201674,Meadow banana bunch 250 ml pack of 6,Produce,"{""brand"": ""Meadow"", ""size"": ""250 ml"", ""pack_qty"": 6}",none,1.12,supermarket
N202444,Harvest oat drink 750 g pack of 1,Beverages,"{""brand"": ""Harvest"", ""size"": ""750 g"", ""pack_qty"": 1}",none,16.39,online
N200247,Northfield body lotion 6 pk pack of 6,Personal Care,"{""brand"": ""Northfield"", ""size"": ""6 pk"", ""pack_qty"": 6}",none,19.24,online
N201983,Bluebell razor blades 250 ml pack of 4,Personal Care,"{""brand"": ""Bluebell"", ""size"": ""250 ml"", ""pack_qty"": 4}",none,14.48,express
N202516,Bluebell orange juice 500 g pack of 6,Beverages,"{""brand"": ""Bluebell"", ""size"": ""500 g"", ""pack_qty"": 6}",none,21.86,online
N200222,Valley dish soap 6 pk pack of 6,Household,"{""brand"": ""Valley"", ""size"": ""6 pk"", ""pack_qty"": 6}",none,20.59,supermarket
N200807,Meadow razor blades 2 L pack of 1,Personal Care,"{""brand"": ""Meadow"", ""size"": ""2 L"", ""pack_qty"": 1}",none,5.59,express
N201167,Orchard razor blades 6 pk pack of 2,Personal Care,"{""brand"": ""Orchard"", ""size"": ""6 pk"", ""pack_qty"": 2}",none,14.96,express
N201973,Bluebell dark chocolate 2 L pack of 12,Snacks,"{""brand"": ""Bluebell"", ""size"": ""2 L"", ""pack_qty"": 12}",nuts;milk,23.7,online
N200547,Northfield mixed berries 1 kg pack of 12,Frozen,"{""brand"": ""Northfield"", ""size"": ""1 kg"", ""pack_qty"": 12}",gluten;fish,17.51,express
N201125,Orchard trail mix 250 ml pack of 6,Snacks,"{""brand"": ""Orchard"", ""size"": ""250 ml"", ""pack_qty"": 6}",nuts;milk,2.12,supermarket
N200765,Bluebell rice cakes 2 L pack of 1,Snacks,"{""brand"": ""Bluebell"", ""size"": ""2 L"", ""pack_qty"": 1}",nuts;milk,19.29,express
N200229,Harvest salted crisps 6 pk pack of 1,Snacks,"{""brand"": ""Harvest"", ""size"": ""6 pk"", ""pack_qty"": 1}",nuts;milk,3.37,express
N201471,Meadow body lotion 1 L pack of 1,Personal Care,"{""brand"": ""Meadow"", ""size"": ""1 L"", ""pack_qty"": 1}",none,2.48,express
N202326,Harvest paper towel 1 L pack of 2,Household,"{""brand"": ""Harvest"", ""size"": ""1 L"", ""pack_qty"": 2}",none,8.38,online
N200182,Bluebell bin liners 2 L pack of 6,Household,"{""brand"": ""Bluebell"", ""size"": ""2 L"", ""pack_qty"": 6}",none,20.82,online
N201017,Orchard butter croissant 2 L pack of 6,Bakery,"{""brand"": ""Orchard"", ""size"": ""2 L"", ""pack_qty"": 6}",gluten;egg,21.75,express
N202879,Orchard hand soap 1 kg pack of 1,Personal Care,"{""brand"": ""Orchard"", ""size"": ""1 kg"", ""pack_qty"": 1}",none,17.24,online
N202758,Orchard bin liners 500 g pack of 12,Household,"{""brand"": ""Orchard"", ""size"": ""500 g"", ""pack_qty"": 12}",none,19.75,supermarket
N200504,Harvest whole milk 250 ml pack of 1,Dairy,"{""brand"": ""Harvest"", ""size"": ""250 ml"", ""pack_qty"": 1}",milk,23.76,supermarket
N202380,Harvest orange juice 500 g pack of 6,Beverages,"{""brand"": ""Harvest"", ""size"": ""500 g"", ""pack_qty"": 6}",none,2.29,online
N202585,Valley butter croissant 6 pk pack of 6,Bakery,"{""brand"": ""Valley"", ""size"": ""6 pk"", ""pack_qty"": 6}",gluten;egg,2.51,express
N201171,Bluebell margherita pizza 6 pk pack of 4,Frozen,"{""brand"": ""Bluebell"", ""size"": ""6 pk"", ""pack_qty"": 4}",gluten;fish,15.95,supermarket
N201878,Harvest bin liners 1 L pack of 4,Household,"{""brand"": ""Harvest"", ""size"": ""1 L"", ""pack_qty"": 4}",none,15.14,supermarket
N200356,Meadow oat drink 250 ml pack of 2,Beverages,"{""brand"": ""Meadow"", ""size"": ""250 ml"", ""pack_qty"": 2}",none,21.37,supermarket
N201568,Orchard cheddar cheese 2 L pack of 6,Dairy,"{""brand"": ""Orchard"", ""size"": ""2 L"", ""pack_qty"": 6}",milk,7.78,online
N202275,Bluebell mixed berries 2 L pack of 4,Frozen,"{""brand"": ""Bluebell"", ""size"": ""2 L"", ""pack_qty"": 4}",gluten;fish,19.61,supermarket
N202949,Orchard tortilla chips 1 kg pack of 12,Snacks,"{""brand"": ""Orchard"", ""size"": ""1 kg"", ""pack_qty"": 12}",nuts;milk,5.55,express
N202748,Northfield cold brew 6 pk pack of 6,Beverages,"{""brand"": ""Northfield"", ""size"": ""6 pk"", ""pack_qty"": 6}",none,4.36,online
N202330,Harvest avocado ripe 1 L pack of 12,Produce,"{""brand"": ""Harvest"", ""size"": ""1 L"", ""pack_qty"": 12}",none,5.47,online
N201287,Northfield hand soap 250 ml pack of 6,Personal Care,"{""brand"": ""Northfield"", ""size"": ""250 ml"", ""pack_qty"": 6}",none,4.83,express
N201100,Orchard cold brew 330 ml pack of 2,Beverages,"{""brand"": ""Orchard"", ""size"": ""330 ml"", ""pack_qty"": 2}",none,9.06,online
N201359,Valley body lotion 6 pk pack of 4,Personal Care,"{""brand"": ""Valley"", ""size"": ""6 pk"", ""pack_qty"": 4}",none,22.4,supermarket
N200430,Valley laundry pods 500 g pack of 6,Household,"{""brand"": ""Valley"", ""size"": ""500 g"", ""pack_qty"": 6}",none,11.25,express
N202900,Northfield cold brew 750 g pack of 12,Beverages,"{""brand"": ""Northfield"", ""size"": ""750 g"", ""pack_qty"": 12}",none,1.44,supermarket
N200681,Northfield sourdough loaf 500 g pack of 2,Bakery,"{""brand"": ""Northfield"", ""size"": ""500 g"", ""pack_qty"": 2}",gluten;egg,23.7,online
N202936,Northfield salted butter 1 kg pack of 4,Dairy,"{""brand"": ""Northfield"", ""size"": ""1 kg"", ""pack_qty"": 4}",milk,1.49,online
N200328,Harvest cheddar cheese 1 kg pack of 12,Dairy,"{""brand"": ""Harvest"", ""size"": ""1 kg"", ""pack_qty"": 12}",milk,3.8,express
N200835,Northfield garden peas 2 L pack of 6,Frozen,"{""brand"": ""Northfield"", ""size"": ""2 L"", ""pack_qty"": 6}",gluten;fish,14.32,supermarket
N200224,Meadow double cream 500 g pack of 2,Dairy,"{""brand"": ""Meadow"", ""size"": ""500 g"", ""pack_qty"": 2}",milk,19.59,supermarket
