item_id,description
N200518,Supplier sheet: Bluebell paper towel 750 g pack of 12. Store at ambient. Shelf life 19 days. Allergens: none.
N202680,Supplier sheet: Meadow cheddar cheese 1 L pack of 4. Store at chilled. Shelf life 75 days. Allergens: milk.
N202433,Supplier sheet: Orchard blueberry muffin 6 pk pack of 2. Store at ambient. Shelf life 89 days. Allergens: gluten;egg.
N201338,Supplier sheet: Valley cherry tomato 750 g pack of 12. Store at chilled. Shelf life 165 days. Allergens: none.
N200280,Supplier sheet: Meadow double cream 1 kg pack of 12. Store at chilled. Shelf life 85 days. Allergens: milk.
N202512,Supplier sheet: Harvest greek yogurt 330 ml pack of 6. Store at chilled. Shelf life 33 days. Allergens: milk.
N200210,Supplier sheet: Meadow cherry tomato 250 ml pack of 2. Store at chilled. Shelf life 126 days. Allergens: none.
N201675,Supplier sheet: Orchard vanilla icecream 2 L pack of 12. Store at -18C. Shelf life 13 days. Allergens: gluten;fish.
N200404,Supplier sheet: Orchard orange juice 6 pk pack of 6. Store at ambient. Shelf life 64 days. Allergens: none.
N200306,Supplier sheet: Meadow cherry tomato 1 L pack of 4. Store at chilled. Shelf life 118 days. Allergens: none.
N200630,Supplier sheet: Northfield laundry pods 1 L pack of 6. Store at ambient. Shelf life 47 days. Allergens: none.
N200337,Supplier sheet: Harvest blueberry muffin 750 g pack of 12. Store at ambient. Shelf life 108 days. Allergens: gluten;egg.
N201131,Supplier sheet: Northfield garden peas 250 ml pack of 2. Store at -18C. Shelf life 83 days. Allergens: gluten;fish.
N202557,Supplier sheet: Northfield dark chocolate 1 L pack of 1. Store at ambient. Shelf life 171 days. Allergens: nuts;milk.
N201860,Supplier sheet: Bluebell oat drink 500 g pack of 1. Store at ambient. Shelf life 53 days. Allergens: none.
N202990,Supplier sheet: Orchard glass cleaner 500 g pack of 2. Store at ambient. Shelf life 163 days. Allergens: none.
N200703,Supplier sheet: Meadow hand soap 2 L pack of 2. Store at ambient. Shelf life 113 days. Allergens: none.
N202092,Supplier sheet: Valley sparkling water 6 pk pack of 12. Store at ambient. Shelf life 135 days. Allergens: none.
N200301,Supplier sheet: Northfield dark chocolate 1 L pack of 2. Store at ambient. Shelf life 32 days. Allergens: nuts;milk.
N200991,Supplier sheet: Harvest body lotion 6 pk pack of 12. Store at ambient. Shelf life 6 days. Allergens: none.
N202896,Supplier sheet: Harvest salted butter 250 ml pack of 6. Store at chilled. Shelf life 132 days. Allergens: milk.
N200637,Supplier sheet: Orchard salted crisps 1 L pack of 4. Store at ambient. Shelf life 88 days. Allergens: nuts;milk.
N200918,Supplier sheet: Meadow laundry pods 2 L pack of 1. Store at ambient. Shelf life 57 days. Allergens: none.
N200160,Supplier sheet: Northfield whole milk 1 L pack of 2. Store at chilled. Shelf life 161 days. Allergens: milk.
N202007,Supplier sheet: Northfield toothpaste mint 330 ml pack of 2. Store at ambient. Shelf life 60 days. Allergens: none.
N200252,Supplier sheet: Orchard cola zero 330 ml pack of 4. Store at ambient. Shelf life 79 days. Allergens: none.
N200592,Supplier sheet: Northfield greek yogurt 250 ml pack of 12. Store at chilled. Shelf life 131 days. Allergens: milk.
N201429,Supplier sheet: Orchard dark chocolate 750 g pack of 6. Store at ambient. Shelf life 173 days. Allergens: nuts;milk.
N200385,Supplier sheet: Valley sourdough loaf 250 ml pack of 1. Store at ambient. Shelf life 162 days. Allergens: gluten;egg.
N200968,Supplier sheet: Orchard cheddar cheese 1 kg pack of 2. Store at chilled. Shelf life 118 days. Allergens: milk.
N202733,Supplier sheet: Orchard trail mix 1 kg pack of 6. Store at ambient. Shelf life 22 days. Allergens: nuts;milk.
N202784,Supplier sheet: Bluebell double cream 500 g pack of 6. Store at chilled. Shelf life 22 days. Allergens: milk.
N201021,Supplier sheet: Valley dark chocolate 1 L pack of 4. Store at ambient. Shelf life 125 days. Allergens: nuts;milk.
N200531,Supplier sheet: Harvest vanilla icecream 1 L pack of 6. Store at -18C. Shelf life 93 days. Allergens: gluten;fish.
N202351,Supplier sheet: Meadow hand soap 2 L pack of 1. Store at ambient. Shelf life 26 days. Allergens: none.
N202565,Supplier sheet: Meadow rice cakes 2 L pack of 2. Store at ambient. Shelf life 126 days. Allergens: nuts;milk.
N202276,Supplier sheet: Bluebell cold brew 330 ml pack of 12. Store at ambient. Shelf life 169 days. Allergens: none.
N200739N,Supplier sheet: VALLEY FISH FINGERS 1 KG PACK OF 2  . Store at -18C. Shelf life 14 days. Allergens: gluten;fish.
N201804,Supplier sheet: Northfield oat drink 500 g pack of 4. Store at ambient. Shelf life 149 days. Allergens: none.
N202874,Supplier sheet: Valley avocado ripe 750 g pack of 12. Store at chilled. Shelf life 64 days. Allergens: none.
N201081,Supplier sheet: Harvest wholemeal bread 330 ml pack of 6. Store at ambient. Shelf life 73 days. Allergens: gluten;egg.
N202644,Supplier sheet: Harvest cola zero 1 kg pack of 2. Store at ambient. Shelf life 129 days. Allergens: none.
N202986,Supplier sheet: Bluebell avocado ripe 1 L pack of 6. Store at chilled. Shelf life 46 days. Allergens: none.
N202135,Supplier sheet: Valley razor blades 250 ml pack of 2. Store at ambient. Shelf life 30 days. Allergens: none.
N202677,Supplier sheet: Bluebell dark chocolate 6 pk pack of 12. Store at ambient. Shelf life 173 days. Allergens: nuts;milk.
N201914,Supplier sheet: Orchard baby spinach 6 pk pack of 2. Store at chilled. Shelf life 64 days. Allergens: none.
N202066,Supplier sheet: Northfield banana bunch 750 g pack of 1. Store at chilled. Shelf life 33 days. Allergens: none.
N201387,Supplier sheet: Northfield garden peas 6 pk pack of 4. Store at -18C. Shelf life 125 days. Allergens: gluten;fish. Rep contact rep12@example-supplier.test
N201726,Supplier sheet: Bluebell dish soap 750 g pack of 6. Store at ambient. Shelf life 41 days. Allergens: none.
N201133,Supplier sheet: Northfield trail mix 250 ml pack of 6. Store at ambient. Shelf life 140 days. Allergens: nuts;milk.
N202128,Supplier sheet: Orchard cheddar cheese 1 L pack of 4. Store at chilled. Shelf life 15 days. Allergens: milk.
N202932,Supplier sheet: Northfield orange juice 500 g pack of 2. Store at ambient. Shelf life 94 days. Allergens: none.
N202919,Supplier sheet: Bluebell hand soap 500 g pack of 2. Store at ambient. Shelf life 74 days. Allergens: none.
N202113,Supplier sheet: Meadow butter croissant 250 ml pack of 6. Store at ambient. Shelf life 172 days. Allergens: gluten;egg.
N201490,Supplier sheet: Orchard baby spinach 1 kg pack of 2. Store at chilled. Shelf life 95 days. Allergens: none.
N202390,Supplier sheet: Meadow glass cleaner 750 g pack of 1. Store at ambient. Shelf life 166 days. Allergens: none.
N202203,Supplier sheet: Valley fish fingers 750 g pack of 6. Store at -18C. Shelf life 46 days. Allergens: gluten;fish.
N201891,Supplier sheet: Harvest garden peas 1 L pack of 4. Store at -18C. Shelf life 86 days. Allergens: gluten;fish.
N202688,Supplier sheet: Valley salted butter 6 pk pack of 6. Store at chilled. Shelf life 147 days. Allergens: milk.
N202752,Supplier sheet: Bluebell greek yogurt 2 L pack of 2. Store at chilled. Shelf life 31 days. Allergens: milk.
N202222,Supplier sheet: Valley glass cleaner 2 L pack of 2. Store at ambient. Shelf life 167 days. Allergens: none.
N202742,Supplier sheet: Bluebell paper towel 2 L pack of 6. Store at ambient. Shelf life 139 days. Allergens: none.
N200694,Supplier sheet: Harvest bin liners 500 g pack of 12. Store at ambient. Shelf life 122 days. Allergens: none.
N202891,Supplier sheet: Valley margherita pizza 1 L pack of 1. Store at -18C. Shelf life 46 days. Allergens: gluten;fish.
N201455,Supplier sheet: Valley hand soap 1 L pack of 1. Store at ambient. Shelf life 147 days. Allergens: none.
N201761,Supplier sheet: Orchard wholemeal bread 6 pk pack of 12. Store at ambient. Shelf life 152 days. Allergens: gluten;egg.
N202883,Supplier sheet: Bluebell vanilla icecream 500 g pack of 1. Store at -18C. Shelf life 54 days. Allergens: gluten;fish.
N201466N,Supplier sheet: MEADOW GALA APPLE 2 L PACK OF 2  . Store at chilled. Shelf life 106 days. Allergens: none.
N202177,Supplier sheet: Meadow butter croissant 1 L pack of 2. Store at ambient. Shelf life 13 days. Allergens: gluten;egg.
N200314,Supplier sheet: Orchard gala apple 1 L pack of 1. Store at chilled. Shelf life 72 days. Allergens: none.
N202254,Supplier sheet: Valley bin liners 500 g pack of 4. Store at ambient. Shelf life 29 days. Allergens: none.
N201532,Supplier sheet: Meadow orange juice 750 g pack of 12. Store at ambient. Shelf life 101 days. Allergens: none.
N201550,Supplier sheet: Northfield bin liners 6 pk pack of 12. Store at ambient. Shelf life 100 days. Allergens: none.
N200090,Supplier sheet: Bluebell banana bunch 250 ml pack of 2. Store at chilled. Shelf life 97 days. Allergens: none.
N201277,Supplier sheet: Harvest salted crisps 6 pk pack of 12. Store at ambient. Shelf life 122 days. Allergens: nuts;milk.
N200666,Supplier sheet: Northfield banana bunch 1 L pack of 12. Store at chilled. Shelf life 166 days. Allergens: none.
N201758,Supplier sheet: Meadow paper towel 750 g pack of 4. Store at ambient. Shelf life 37 days. Allergens: none.
N202220,Supplier sheet: Valley orange juice 1 kg pack of 1. Store at ambient. Shelf life 40 days. Allergens: none.
N202458,Supplier sheet: Valley avocado ripe 250 ml pack of 6. Store at chilled. Shelf life 41 days. Allergens: none.
N200376,Supplier sheet: Meadow cheddar cheese 500 g pack of 1. Store at chilled. Shelf life 167 days. Allergens: milk.
N200952,Supplier sheet: Bluebell whole milk 500 g pack of 2. Store at chilled. Shelf life 19 days. Allergens: milk.
N201226,Supplier sheet: Harvest gala apple 1 kg pack of 1. Store at chilled. Shelf life 8 days. Allergens: none.
N201909,Supplier sheet: Meadow trail mix 330 ml pack of 1. Store at ambient. Shelf life 31 days. Allergens: nuts;milk.
N200913,Supplier sheet: Valley wholemeal bread 330 ml pack of 4. Store at ambient. Shelf life 139 days. Allergens: gluten;egg.
N202535,Supplier sheet: Northfield shampoo daily 750 g pack of 2. Store at ambient. Shelf life 105 days. Allergens: none. Rep contact rep2@example-supplier.test
N201022,Supplier sheet: Valley paper towel 2 L pack of 6. Store at ambient. Shelf life 165 days. Allergens: none.
N200315,Supplier sheet: Bluebell garden peas 750 g pack of 2. Store at -18C. Shelf life 39 days. Allergens: gluten;fish. Rep contact rep10@example-supplier.test
N201600,Supplier sheet: Meadow cheddar cheese 250 ml pack of 1. Store at chilled. Shelf life 72 days. Allergens: milk.
N202870,Supplier sheet: Bluebell laundry pods 2 L pack of 6. Store at ambient. Shelf life 101 days. Allergens: none.
N201787,Supplier sheet: Meadow margherita pizza 6 pk pack of 12. Store at -18C. Shelf life 15 days. Allergens: gluten;fish.
N200492,Supplier sheet: Meadow oat drink 1 L pack of 4. Store at ambient. Shelf life 165 days. Allergens: none.
N201932,Supplier sheet: Orchard cola zero 6 pk pack of 6. Store at ambient. Shelf life 145 days. Allergens: none.
N201650,Supplier sheet: Valley gala apple 2 L pack of 6. Store at chilled. Shelf life 28 days. Allergens: none.
N202022,Supplier sheet: Valley glass cleaner 250 ml pack of 1. Store at ambient. Shelf life 152 days. Allergens: none.
N200331,Supplier sheet: Valley mixed berries 750 g pack of 1. Store at -18C. Shelf life 82 days. Allergens: gluten;fish.
N200137,Supplier sheet: Valley sourdough loaf 250 ml pack of 12. Store at ambient. Shelf life 62 days. Allergens: gluten;egg.
N200898,Supplier sheet: Northfield gala apple 1 L pack of 12. Store at chilled. Shelf life 170 days. Allergens: none.
N202136,Supplier sheet: Northfield cheddar cheese 250 ml pack of 2. Store at chilled. Shelf life 94 days. Allergens: milk.
N201307,Supplier sheet: Meadow mixed berries 1 kg pack of 2. Store at -18C. Shelf life 43 days. Allergens: gluten;fish.
N201056,Supplier sheet: Harvest greek yogurt 330 ml pack of 1. Store at chilled. Shelf life 146 days. Allergens: milk.
N201016,Supplier sheet: Meadow cheddar cheese 330 ml pack of 12. Store at chilled. Shelf life 129 days. Allergens: milk.
N201673,Supplier sheet: Bluebell seeded bagel 330 ml pack of 6. Store at ambient. Shelf life 36 days. Allergens: gluten;egg. Rep contact rep16@example-supplier.test
N201170,Supplier sheet: Harvest banana bunch 1 kg pack of 4. Store at chilled. Shelf life 122 days. Allergens: none.
N202174,Supplier sheet: Bluebell glass cleaner 250 ml pack of 6. Store at ambient. Shelf life 114 days. Allergens: none.
N201754,Supplier sheet: Northfield baby spinach 2 L pack of 1. Store at chilled. Shelf life 51 days. Allergens: none.
N201483,Supplier sheet: Orchard fish fingers 2 L pack of 6. Store at -18C. Shelf life 79 days. Allergens: gluten;fish.
N201252,Supplier sheet: Harvest sparkling water 1 kg pack of 4. Store at ambient. Shelf life 151 days. Allergens: none.
N202163,Supplier sheet: Orchard garden peas 6 pk pack of 6. Store at -18C. Shelf life 33 days. Allergens: gluten;fish.
N200862,Supplier sheet: Harvest dish soap 330 ml pack of 2. Store at ambient. Shelf life 130 days. Allergens: none.
N201674,Supplier sheet: Meadow banana bunch 250 ml pack of 6. Store at chilled. Shelf life 150 days. Allergens: none.
N202444,Supplier sheet: Harvest oat drink 750 g pack of 1. Store at ambient. Shelf life 168 days. Allergens: none.
N200247,Supplier sheet: Northfield body lotion 6 pk pack of 6. Store at ambient. Shelf life 60 days. Allergens: none.
N201983,Supplier sheet: Bluebell razor blades 250 ml pack of 4. Store at ambient. Shelf life 50 days. Allergens: none.
N202516,Supplier sheet: Bluebell orange juice 500 g pack of 6. Store at ambient. Shelf life 168 days. Allergens: none.
N200222,Supplier sheet: Valley dish soap 6 pk pack of 6. Store at ambient. Shelf life 84 days. Allergens: none.
N200807,Supplier sheet: Meadow razor blades 2 L pack of 1. Store at ambient. Shelf life 103 days. Allergens: none.
N201167,Supplier sheet: Orchard razor blades 6 pk pack of 2. Store at ambient. Shelf life 93 days. Allergens: none.
N201973,Supplier sheet: Bluebell dark chocolate 2 L pack of 12. Store at ambient. Shelf life 94 days. Allergens: nuts;milk.
N200547,Supplier sheet: Northfield mixed berries 1 kg pack of 12. Store at -18C. Shelf life 113 days. Allergens: gluten;fish.
N201125,Supplier sheet: Orchard trail mix 250 ml pack of 6. Store at ambient. Shelf life 77 days. Allergens: nuts;milk.
N200765,Supplier sheet: Bluebell rice cakes 2 L pack of 1. Store at ambient. Shelf life 72 days. Allergens: nuts;milk.
N200229,Supplier sheet: Harvest salted crisps 6 pk pack of 1. Store at ambient. Shelf life 73 days. Allergens: nuts;milk.
N201471,Supplier sheet: Meadow body lotion 1 L pack of 1. Store at ambient. Shelf life 119 days. Allergens: none.
N202326,Supplier sheet: Harvest paper towel 1 L pack of 2. Store at ambient. Shelf life 147 days. Allergens: none.
N200182,Supplier sheet: Bluebell bin liners 2 L pack of 6. Store at ambient. Shelf life 101 days. Allergens: none.
N201017,Supplier sheet: Orchard butter croissant 2 L pack of 6. Store at ambient. Shelf life 122 days. Allergens: gluten;egg.
N202879,Supplier sheet: Orchard hand soap 1 kg pack of 1. Store at ambient. Shelf life 76 days. Allergens: none.
N202758,Supplier sheet: Orchard bin liners 500 g pack of 12. Store at ambient. Shelf life 139 days. Allergens: none.
N200504,Supplier sheet: Harvest whole milk 250 ml pack of 1. Store at chilled. Shelf life 72 days. Allergens: milk.
N202380,Supplier sheet: Harvest orange juice 500 g pack of 6. Store at ambient. Shelf life 77 days. Allergens: none.
N202585,Supplier sheet: Valley butter croissant 6 pk pack of 6. Store at ambient. Shelf life 12 days. Allergens: gluten;egg.
N201171,Supplier sheet: Bluebell margherita pizza 6 pk pack of 4. Store at -18C. Shelf life 49 days. Allergens: gluten;fish.
N201878,Supplier sheet: Harvest bin liners 1 L pack of 4. Store at ambient. Shelf life 133 days. Allergens: none.
N200356,Supplier sheet: Meadow oat drink 250 ml pack of 2. Store at ambient. Shelf life 18 days. Allergens: none.
N201568,Supplier sheet: Orchard cheddar cheese 2 L pack of 6. Store at chilled. Shelf life 42 days. Allergens: milk.
N202275,Supplier sheet: Bluebell mixed berries 2 L pack of 4. Store at -18C. Shelf life 140 days. Allergens: gluten;fish.
N202949,Supplier sheet: Orchard tortilla chips 1 kg pack of 12. Store at ambient. Shelf life 157 days. Allergens: nuts;milk.
N202748,Supplier sheet: Northfield cold brew 6 pk pack of 6. Store at ambient. Shelf life 76 days. Allergens: none.
N202330,Supplier sheet: Harvest avocado ripe 1 L pack of 12. Store at chilled. Shelf life 75 days. Allergens: none.
N201287,Supplier sheet: Northfield hand soap 250 ml pack of 6. Store at ambient. Shelf life 93 days. Allergens: none.
N201100,Supplier sheet: Orchard cold brew 330 ml pack of 2. Store at ambient. Shelf life 139 days. Allergens: none.
N201359,Supplier sheet: Valley body lotion 6 pk pack of 4. Store at ambient. Shelf life 86 days. Allergens: none.
N200430,Supplier sheet: Valley laundry pods 500 g pack of 6. Store at ambient. Shelf life 33 days. Allergens: none.
N202900,Supplier sheet: Northfield cold brew 750 g pack of 12. Store at ambient. Shelf life 79 days. Allergens: none.
N200681,Supplier sheet: Northfield sourdough loaf 500 g pack of 2. Store at ambient. Shelf life 48 days. Allergens: gluten;egg.
N202936,Supplier sheet: Northfield salted butter 1 kg pack of 4. Store at chilled. Shelf life 124 days. Allergens: milk.
N200328,Supplier sheet: Harvest cheddar cheese 1 kg pack of 12. Store at chilled. Shelf life 28 days. Allergens: milk.
N200835,Supplier sheet: Northfield garden peas 2 L pack of 6. Store at -18C. Shelf life 110 days. Allergens: gluten;fish.
N200224,Supplier sheet: Meadow double cream 500 g pack of 2. Store at chilled. Shelf life 25 days. Allergens: milk.
N202551,Supplier sheet: Valley body lotion 1 L pack of 12. Store at ambient. Shelf life 175 days. Allergens: none.
N200448,Supplier sheet: Orchard cheddar cheese 250 ml pack of 4. Store at chilled. Shelf life 116 days. Allergens: milk.
N202303,Supplier sheet: Orchard shampoo daily 1 kg pack of 1. Store at ambient. Shelf life 27 days. Allergens: none.
N201524,Supplier sheet: Valley sparkling water 1 L pack of 6. Store at ambient. Shelf life 172 days. Allergens: none.
N202194,Supplier sheet: Orchard avocado ripe 250 ml pack of 12. Store at chilled. Shelf life 104 days. Allergens: none.
N201883,Supplier sheet: Harvest vanilla icecream 2 L pack of 4. Store at -18C. Shelf life 110 days. Allergens: gluten;fish.
N202395,Supplier sheet: Northfield mixed berries 1 L pack of 4. Store at -18C. Shelf life 14 days. Allergens: gluten;fish.
N202520,Supplier sheet: Northfield greek yogurt 500 g pack of 4. Store at chilled. Shelf life 36 days. Allergens: milk.
N202096,Supplier sheet: Harvest salted butter 6 pk pack of 4. Store at chilled. Shelf life 146 days. Allergens: milk.
N202349,Supplier sheet: Bluebell dark chocolate 1 L pack of 1. Store at ambient. Shelf life 85 days. Allergens: nuts;milk.
N200707,Supplier sheet: Valley fish fingers 500 g pack of 6. Store at -18C. Shelf life 112 days. Allergens: gluten;fish.
N201246,Supplier sheet: Bluebell laundry pods 6 pk pack of 6. Store at ambient. Shelf life 177 days. Allergens: none.
N201521,Supplier sheet: Northfield wholemeal bread 1 kg pack of 4. Store at ambient. Shelf life 78 days. Allergens: gluten;egg.
N201263,Supplier sheet: Harvest body lotion 1 kg pack of 4. Store at ambient. Shelf life 70 days. Allergens: none.
N200352,Supplier sheet: Valley whole milk 1 L pack of 6. Store at chilled. Shelf life 144 days. Allergens: milk. Call +1-555-0119-1019
N200654,Supplier sheet: Harvest paper towel 1 kg pack of 12. Store at ambient. Shelf life 14 days. Allergens: none.
N202979,Supplier sheet: Northfield vanilla icecream 750 g pack of 4. Store at -18C. Shelf life 83 days. Allergens: gluten;fish.
N202985,Supplier sheet: Northfield wholemeal bread 500 g pack of 12. Store at ambient. Shelf life 154 days. Allergens: gluten;egg.
N202716,Supplier sheet: Valley cold brew 2 L pack of 1. Store at ambient. Shelf life 43 days. Allergens: none.
N200036,Supplier sheet: Harvest sparkling water 2 L pack of 1. Store at ambient. Shelf life 56 days. Allergens: none.
N200664,Supplier sheet: Harvest greek yogurt 250 ml pack of 12. Store at chilled. Shelf life 86 days. Allergens: milk.
N200078,Supplier sheet: Valley laundry pods 330 ml pack of 6. Store at ambient. Shelf life 16 days. Allergens: none.
N200997,Supplier sheet: Valley dark chocolate 330 ml pack of 12. Store at ambient. Shelf life 15 days. Allergens: nuts;milk.
N200772,Supplier sheet: Northfield sparkling water 2 L pack of 12. Store at ambient. Shelf life 47 days. Allergens: none.
N200759,Supplier sheet: Valley hand soap 330 ml pack of 4. Store at ambient. Shelf life 161 days. Allergens: none.
N201199,Supplier sheet: Northfield shampoo daily 6 pk pack of 6. Store at ambient. Shelf life 42 days. Allergens: none.
N201225,Supplier sheet: Harvest butter croissant 6 pk pack of 12. Store at ambient. Shelf life 132 days. Allergens: gluten;egg.
N201844,Supplier sheet: Harvest oat drink 6 pk pack of 6. Store at ambient. Shelf life 78 days. Allergens: none.
N202304,Supplier sheet: Valley double cream 1 L pack of 1. Store at chilled. Shelf life 137 days. Allergens: milk.
N200993,Supplier sheet: Valley seeded bagel 750 g pack of 4. Store at ambient. Shelf life 61 days. Allergens: gluten;egg. Call +1-555-0127-1027
N201776,Supplier sheet: Orchard cheddar cheese 1 L pack of 6. Store at chilled. Shelf life 157 days. Allergens: milk.
N201815,Supplier sheet: Bluebell toothpaste mint 250 ml pack of 6. Store at ambient. Shelf life 68 days. Allergens: none.
N201951,Supplier sheet: Orchard shampoo daily 2 L pack of 6. Store at ambient. Shelf life 143 days. Allergens: none.
N200880,Supplier sheet: Harvest greek yogurt 1 kg pack of 1. Store at chilled. Shelf life 150 days. Allergens: milk.
N202234,Supplier sheet: Bluebell baby spinach 2 L pack of 6. Store at chilled. Shelf life 79 days. Allergens: none.
N200534,Supplier sheet: Bluebell glass cleaner 1 kg pack of 2. Store at ambient. Shelf life 121 days. Allergens: none.
N201786,Supplier sheet: Harvest banana bunch 250 ml pack of 4. Store at chilled. Shelf life 23 days. Allergens: none.
N202159,Supplier sheet: Harvest hand soap 1 L pack of 6. Store at ambient. Shelf life 90 days. Allergens: none.
N200965,Supplier sheet: Meadow trail mix 250 ml pack of 2. Store at ambient. Shelf life 69 days. Allergens: nuts;milk.
N202719,Supplier sheet: Meadow hand soap 1 L pack of 2. Store at ambient. Shelf life 171 days. Allergens: none.
N202385,Supplier sheet: Northfield sourdough loaf 500 g pack of 1. Store at ambient. Shelf life 168 days. Allergens: gluten;egg.
N201485,Supplier sheet: Valley rice cakes 750 g pack of 2. Store at ambient. Shelf life 141 days. Allergens: nuts;milk.
N200663,Supplier sheet: Northfield razor blades 500 g pack of 1. Store at ambient. Shelf life 170 days. Allergens: none.
N200674,Supplier sheet: Valley gala apple 330 ml pack of 12. Store at chilled. Shelf life 175 days. Allergens: none.
N201947,Supplier sheet: Orchard fish fingers 1 kg pack of 6. Store at -18C. Shelf life 138 days. Allergens: gluten;fish.
N202595,Supplier sheet: Northfield mixed berries 1 kg pack of 12. Store at -18C. Shelf life 108 days. Allergens: gluten;fish.
N200262,Supplier sheet: Valley dish soap 6 pk pack of 2. Store at ambient. Shelf life 39 days. Allergens: none.
N200631N,Supplier sheet: NORTHFIELD BODY LOTION 500 G PACK OF 6  . Store at ambient. Shelf life 147 days. Allergens: none.
N202779,Supplier sheet: Harvest fish fingers 1 L pack of 2. Store at -18C. Shelf life 37 days. Allergens: gluten;fish.
N200675,Supplier sheet: Valley garden peas 6 pk pack of 1. Store at -18C. Shelf life 35 days. Allergens: gluten;fish.
N200248,Supplier sheet: Orchard whole milk 500 g pack of 2. Store at chilled. Shelf life 158 days. Allergens: milk.
N200382,Supplier sheet: Meadow laundry pods 6 pk pack of 12. Store at ambient. Shelf life 23 days. Allergens: none.
N201180,Supplier sheet: Orchard oat drink 750 g pack of 6. Store at ambient. Shelf life 28 days. Allergens: none.
N202019,Supplier sheet: Bluebell margherita pizza 6 pk pack of 2. Store at -18C. Shelf life 93 days. Allergens: gluten;fish.
N201581,Supplier sheet: Valley trail mix 750 g pack of 2. Store at ambient. Shelf life 106 days. Allergens: nuts;milk.
N202633,Supplier sheet: Bluebell seeded bagel 6 pk pack of 12. Store at ambient. Shelf life 11 days. Allergens: gluten;egg.
N201405,Supplier sheet: Bluebell trail mix 6 pk pack of 1. Store at ambient. Shelf life 69 days. Allergens: nuts;milk.
N201467,Supplier sheet: Meadow mixed berries 330 ml pack of 4. Store at -18C. Shelf life 42 days. Allergens: gluten;fish.
N201862,Supplier sheet: Meadow bin liners 750 g pack of 2. Store at ambient. Shelf life 56 days. Allergens: none.
N202232,Supplier sheet: Bluebell salted butter 330 ml pack of 2. Store at chilled. Shelf life 35 days. Allergens: milk.
N201172,Supplier sheet: Valley cold brew 250 ml pack of 2. Store at ambient. Shelf life 122 days. Allergens: none.
N202398,Supplier sheet: Northfield bin liners 250 ml pack of 1. Store at ambient. Shelf life 86 days. Allergens: none.
